season,week,player,team,position,team_dropbacks,routes,route_pct,targets
2026,2,Malik Benson,LV,WR,32,4.2,0.13,0
2026,2,Michael Mayer,LV,TE,32,26.9,0.84,0
2026,2,Mike Washington Jr.,LV,RB,32,6.1,0.19,0
2026,2,Tre Tucker,LV,WR,32,18.9,0.59,0
2026,2,Caleb Douglas,MIA,WR,28,24.1,0.86,0
2026,2,Chris Bell,MIA,WR,28,11.5,0.41,0
2026,2,DJ Herman,MIA,FB,28,8.1,0.29,0
2026,2,De'Von Achane,MIA,RB,28,21.3,0.76,0
2026,2,Greg Dulcich,MIA,TE,28,17.1,0.61,0
2026,2,Jaylen Wright,MIA,RB,28,1.4,0.05,0
2026,2,Kevin Coleman,MIA,WR,28,12.9,0.46,0
2026,2,Malik Washington,MIA,WR,28,20.4,0.73,0
2026,2,Malik Willis,MIA,QB,28,28.0,1.0,0
2026,2,Ollie Gordon,MIA,RB,28,5.3,0.19,0
2026,2,Ryan Miller,MIA,WR,28,3.4,0.12,0
2026,2,Seydou Traore,MIA,TE,28,0.0,0.0,0
2026,2,Will Kacmarek,MIA,TE,28,13.2,0.47,0
2026,2,Aaron Jones,MIN,RB,24,19.4,0.81,0
2026,2,Carson Wentz,MIN,QB,24,24.0,1.0,0
2026,2,DeeJay Dallas,MIN,RB,24,3.6,0.15,0
2026,2,Demond Claiborne,MIN,RB,24,1.0,0.04,0
2026,2,Dillon Bell,MIN,WR,24,0.0,0.0,0
2026,2,Gavin Bartholomew,MIN,TE,24,0.0,0.0,0
2026,2,Jordan Addison,MIN,WR,24,21.1,0.88,0
2026,2,Josh Oliver,MIN,TE,24,14.4,0.6,0
2026,2,Justin Jefferson,MIN,WR,24,24.0,1.0,0
2026,2,Max Bredeson,MIN,FB,24,7.9,0.33,0
2026,2,Myles Price,MIN,WR,24,12.0,0.5,0
2026,2,T.J. Hockenson,MIN,TE,24,16.6,0.69,0
2026,2,Tai Felton,MIN,WR,24,0.0,0.0,0
2026,2,Cameron Latu,NE,TE,27,6.8,0.25,0
2026,2,Corey Kiner,NE,RB,27,1.9,0.07,0
2026,2,DeMario Douglas,NE,WR,27,12.7,0.47,0
2026,2,Drake Maye,NE,QB,27,27.0,1.0,0
2026,2,Efton Chism,NE,WR,27,4.9,0.18,0
2026,2,Eli Raridon,NE,TE,27,5.4,0.2,0
2026,2,Hunter Henry,NE,TE,27,24.6,0.91,0
2026,2,Kyle Williams,NE,WR,27,5.4,0.2,0
2026,2,Mack Hollins,NE,WR,27,19.2,0.71,0
2026,2,Reggie Gilliam,NE,FB,27,9.7,0.36,0
2026,2,Rhamondre Stevenson,NE,RB,27,9.7,0.36,0
2026,2,Romeo Doubs,NE,WR,27,18.1,0.67,0
2026,2,TreVeyon Henderson,NE,RB,27,16.2,0.6,0
