article_id,source,headline,description,published,web_url,athlete_ids,team_ids,pulled_at
667f5cb6-560c-4261-8359-460654fd709f,cbs_rss,NFL Week 2's most underrated games: Why you should watch these three under-the-radar games,Here are three games to pay close attention to this week,"Fri, 18 Sep 2026 13:29:04 +0000",https://www.cbssports.com/nfl/news/nfl-week-2s-three-most-underrated-games-patriots-steelers/,,,2026-09-20T01:03:58Z
58dae3ad-a59a-4a6f-89ef-700fa75356d3,cbs_rss,"Week 2 2026 bold predictions: Giants to upset Rams, tanking Dolphins cover against 49ers","From Los Angeles starting 0-2 to Bryce Young being held in check, here are five bold predictions for the NFL's Week 2 slate","Fri, 18 Sep 2026 16:30:07 +0000",https://www.cbssports.com/nfl/news/nfl-week-2-2026-bold-predictions-giants-rams-dolphins-49ers/,,,2026-09-20T01:03:58Z
cc4e6a4c-06a8-4afe-98fe-8f2c20f1904c,cbs_rss,"Browns vs. Buccaneers NFL parlay: It's Baker Mayfield's payback game, but Tampa Bay QB already has last laugh",Bucs QB Baker Mayfield faces his former Browns team for only the second time Sunday,"Fri, 18 Sep 2026 13:03:31 +0000",https://www.cbssports.com/betting/news/browns-vs-buccaneers-nfl-parlay-its-baker-mayfields-payback-game-but-tampa-bay-qb-already-has-last-laugh/,,,2026-09-20T01:03:58Z
37bd449b-91ed-4a82-9873-d1b097810ecb,cbs_rss,"Josh Allen, Bills trample Lions' hapless defense; college football Week 3 picks; UFC 331 preview",Plus MLB free agents who helped or hurt themselves in a contract year,"Fri, 18 Sep 2026 12:55:35 +0000",https://www.cbssports.com/nfl/news/josh-allen-bills-lions-defense-college-football-picks-ufc-331-preview/,,,2026-09-20T01:03:58Z
10e7a4c5-e934-45d0-a4c2-e116af454f00,cbs_rss,"D.J. Moore injury: Bills wideout suffers AC Joint injury in win vs. Lions, Week 3 status in doubt",The injury occurred during the second quarter of Buffalo's home opener,"Fri, 18 Sep 2026 12:30:17 +0000",https://www.cbssports.com/nfl/news/d-j-moore-injury-bills-wideout-shoulder-injury/,,,2026-09-20T01:03:58Z
e4ac839a-b27c-3b63-8c79-6a7b765ab841,yahoo_rss,Bengals elevate QB Josh Johnson and LB Joe Giles-Harris ahead of Texans game,"With Joe Burrow dealing with a back injury, the Bengals may have three QBs up Sunday in Houston.","Sun, 20 Sep 2026 00:51:01 +0000",https://sports.yahoo.com/articles/bengals-elevate-qb-josh-johnson-005101497.html,,,2026-09-20T01:03:58Z
cf94c155-70a7-353d-aee4-b389021d3468,yahoo_rss,"Duke 35, Stanford 7: Five Key Plays","A couple of more wins. like the last two, and people will have to say Duke is a solid football team again.","Sun, 20 Sep 2026 00:43:45 +0000",https://sports.yahoo.com/articles/duke-35-stanford-7-five-004345496.html,,,2026-09-20T01:03:58Z
d8f86b37-4baa-3776-9ecf-053c841b46c7,yahoo_rss,"WSU Gets Much-Needed Feel-Good Win vs. Duquesne, 48-7","Washington State defeated the Duquesne Dukes 48-7 Saturday afternoon at Martin Stadium behind an explosive second half. Kirby Moore earned his first-ever win as a head coach and advanced the Cougars to 1-2 on the season. After a sluggish first half that made Coug fans feel even more uneasy about their offensive woes, WSU exploded […]","Sun, 20 Sep 2026 00:17:33 +0000",https://sports.yahoo.com/articles/wsu-gets-much-needed-feel-001733927.html,,,2026-09-20T01:03:58Z
40cf0b69-948f-3506-9500-90434f1629f9,yahoo_rss,Miami Dolphins Fans: Dolphins vs. SF 49ers Predictions,Miami Dolphins fans share their predictions for tomorrows game versus the San Francisco 49ers.,"Sun, 20 Sep 2026 00:00:00 +0000",https://sports.yahoo.com/articles/miami-dolphins-fans-dolphins-vs-000000873.html,,,2026-09-20T01:03:58Z
a65cb2ba-dab9-3f35-b6ae-d62b6e5e0325,yahoo_rss,Chicago Bears vs. Minnesota Vikings Game Picks and Predictions,"The WCG staff, including @GOOCH1701, @SamHouseholder, @iamcogs, and @wiltfongjr, makes their picks for the Bears vs. Vikings game!","Sun, 20 Sep 2026 00:00:00 +0000",https://sports.yahoo.com/articles/chicago-bears-vs-minnesota-vikings-000000293.html,,,2026-09-20T01:03:58Z
dd35183c-5db0-3301-8ac5-2f78aa201269,yahoo_rss,"Week 2 gambling preview: Bet on George Pickens, plus other picks",What are your favorite NFL props for this week?,"Sun, 20 Sep 2026 00:00:00 +0000",https://sports.yahoo.com/articles/week-2-gambling-preview-bet-000000201.html,,,2026-09-20T01:03:58Z
ca63b61e-d4d3-3b27-aacd-3ef14171f7a2,yahoo_rss,"Browns fans don’t expect an improvement this week, due to worst QB situation in NFL",Cleveland fans are already extremely pessimistic. It’s only Week 2.,"Sat, 19 Sep 2026 23:57:39 +0000",https://sports.yahoo.com/articles/browns-fans-don-t-expect-235739994.html,,,2026-09-20T01:03:58Z
